customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned
1,55,Male,Basic,29.7,15,South,Laptop,199,0
2,62,Male,Premium,29.6,34,North,Tablet,649,0
3,17,Male,Basic,8.7,32,North,Laptop,199,1
4,60,Female,Basic,18.0,17,North,Laptop,199,0
5,59,Female,Standard,11.1,13,East,Mobile,399,0
6,20,Female,Basic,14.4,22,East,Mobile,199,0
7,61,Female,Premium,5.0,59,West,Mobile,649,1
8,50,Female,Premium,24.7,55,East,Laptop,649,1
9,60,Male,Basic,26.5,49,East,Mobile,199,1
10,29,Male,Standard,11.1,40,East,Laptop,399,1
11,38,Female,Basic,26.8,44,North,Laptop,199,1
12,49,Male,Basic,18.5,17,South,Smart TV,199,0
13,64,Male,Basic,32.9,51,East,Tablet,199,1
14,32,Male,Basic,36.5,36,East,Laptop,199,0
15,56,Female,Standard,35.4,41,West,Laptop,399,0
16,31,Male,Basic,29.8,34,East,Tablet,199,0
17,52,Female,Standard,8.8,8,West,Mobile,399,0
18,63,Male,Basic,6.1,10,West,Mobile,199,0
19,39,Female,Premium,39.8,33,East,Mobile,649,0
20,58,Male,Premium,35.4,48,East,Smart TV,649,0
21,22,Female,Standard,6.3,0,East,Laptop,399,0
22,47,Male,Premium,11.9,40,South,Laptop,649,1
23,38,Male,Premium,38.1,59,North,Smart TV,649,1
24,46,Male,Basic,37.2,56,East,Laptop,199,1
25,18,Male,Premium,37.9,5,West,Mobile,649,0
26,63,Male,Basic,26.4,60,South,Smart TV,199,1
27,48,Female,Basic,37.2,48,South,Smart TV,199,0
28,40,Female,Standard,36.0,28,North,Laptop,399,0
29,29,Male,Standard,0.8,35,South,Laptop,399,1
30,15,Male,Premium,25.2,14,North,Mobile,649,0
31,36,Male,Premium,9.5,42,West,Laptop,649,1
32,49,Male,Premium,37.4,36,West,Laptop,649,0
33,65,Female,Standard,7.6,6,West,Smart TV,399,0
34,42,Female,Standard,34.6,3,North,Mobile,399,0
35,40,Female,Basic,9.9,12,West,Laptop,199,0
36,42,Male,Standard,18.5,55,North,Tablet,399,1
37,50,Male,Basic,26.1,34,North,Mobile,199,0
38,63,Male,Basic,16.3,30,South,Tablet,199,0
39,18,Male,Standard,0.1,24,East,Tablet,399,1
40,33,Female,Premium,38.3,50,West,Laptop,649,0
41,27,Female,Basic,38.7,37,North,Smart TV,199,0
42,18,Male,Premium,19.1,58,South,Mobile,649,1
43,47,Male,Basic,2.7,4,South,Tablet,199,0
44,22,Male,Premium,23.8,39,North,Tablet,649,1
45,57,Female,Standard,8.2,45,East,Laptop,399,1
46,31,Female,Basic,26.9,19,West,Smart TV,199,0
47,63,Male,Basic,18.3,36,North,Mobile,199,1
48,49,Male,Premium,10.6,59,East,Mobile,649,1
49,30,Female,Standard,6.3,53,East,Mobile,399,1
50,57,Female,Premium,4.1,56,South,Smart TV,649,1
51,22,Male,Premium,22.1,17,East,Laptop,649,0
52,60,Female,Basic,27.5,54,East,Tablet,199,1
53,31,Male,Basic,25.4,53,East,Mobile,199,1
54,15,Female,Basic,25.5,16,South,Tablet,199,0
55,50,Female,Premium,0.4,4,South,Mobile,649,0
56,38,Male,Standard,5.1,19,East,Mobile,399,0
57,37,Male,Premium,10.0,6,East,Tablet,649,0
58,54,Male,Basic,34.6,51,South,Tablet,199,1
59,16,Male,Premium,37.0,50,West,Laptop,649,0
60,32,Male,Premium,4.3,55,North,Tablet,649,1
61,29,Male,Standard,14.0,52,South,Laptop,399,1
62,16,Male,Standard,13.1,55,North,Smart TV,399,1
63,37,Female,Premium,39.2,34,East,Mobile,649,0
64,22,Female,Basic,23.2,16,North,Mobile,199,0
65,53,Female,Standard,29.1,20,West,Mobile,399,0
66,39,Male,Standard,1.8,27,North,Laptop,399,1
67,38,Female,Basic,38.0,58,East,Smart TV,199,1
68,57,Male,Premium,36.0,32,East,Tablet,649,0
69,35,Female,Premium,11.8,8,South,Tablet,649,0
70,57,Female,Premium,29.9,11,East,Tablet,649,0
71,50,Male,Standard,11.5,27,East,Tablet,399,1
